PassengerId,Pclass,Name,Sex,Age,SibSp,Guests,Ticket,Fare,Cabin,Embarked
1,3,"""Collyer, Miss. Savannah""",female,18,4,0,345,9,F45,C
2,2,"""Yao, Miss. Shaeli""",female,18,1,4,435,24,F54,C
3,3,"""Ngo, Mr. Titan""  ",male,18,1,4,365,9,T23,S
4,3,"""Palen, Miss. Eugina""",female,18,1,8,243,9,G35,S
5,2,"""Gill, Mrs. Jasdeep""",female,18,3,0,273,24,D22,S
6,2,"""Hunt, Miss. Dare""",female,18,1,4,876,24,D55,S
7,3,"""Kwan, Miss. Stephanie""",female,18,1,3,333,9,E99,C
8,2,"""Contreras, Mrs. Simmone""",female,19,4,3,333,24,D55,S
9,1,"""Butarbutar, Miss. Cynthia""",female,18,1,2,455,60,A98,S
10,2,"""Porter, Mr. Brenton""",male,18,3,1,234,24,E34,S
11,3,"""Kapa, Miss. Nandini""",female,18,1,3,234,9,G35,S
12,3,"""Taylor, Miss. Elsa""",female,19,2,4,345,9,G23,S
13,3,"""Lim, Miss. Katie""",female,18,2,4,444,9,T23,S
14,3,"""Lee, Mr. Andrew""",male,18,2,0,453,9,T63,C
15,3,"""Oh, Mr. Timothy""",male,18,2,0,635,9,T13,S
16,2,"""Hourany, Miss. Gaby""",female,19,2,0,762,24,E52,S
17,2,"""Ming, Miss. Tiffany""",female,18,1,2,897,24,E87,S
18,2,"""Phan, Mr. Justin""",male,18,7,0,981,24,E76,S
19,2,"""Chan, Mr. Henry""",male,18,0,0,785,24,E64,C
20,1,"""Gillespie, Mr. Gary""",male,55,1,1,987,150,A45,S
21,2,"""Nina, Miss. Maria""",female,19,1,0,342,24,F54,Q
22,3,"""Ogamba, Miss. Maria""",female,19,2,1,652,9,G76,Q
23,3,"""Aburto, Mr. Dario""",male,18,1,0,785,9,F78,S
24,1,"""Banaga, Miss. Cher""",female,18,0,2,911,60,C61,S
25,2,"""Casas, Miss.Dayana""",female,18,3,1,782,24,D42,S
26,1,"""Mills, Mr. Drew""",male,24,2,0,851,150,A41,C
27,3,"""Hezkiya, Mr. Yehonatan""",male,18,2,2,901,9,F51,S
28,3,"""Balasa, Miss. Sravya""",female,18,0,0,853,9,F62,C
29,1,"""Jaber, Mr. Michael""",male,19,1,0,987,60,B76,C
30,3,"""Lin, Mr. Matias""",male,18,1,1,265,9,F63,Q
31,3,"""Taylor, Mr. Nicholas""",male,18,2,2,786,9,T98,S
32,2,"""Gillespie, Mr. Thai""",male,18,1,2,901,24,D04,S
33,3,"""Wu, Mr. Aaron""",male,17,4,1,843,9,G87,S
34,3,"""Sofeso, Mr. Joseph""",male,4,1,0,876,9,G93,S
35,2,"""Guerrero, Mr. Carlos""",male,6,3,2,654,24,F74,S
36,1,"""Martindale, Miss. Nicole""",female,19,1,0,523,150,A54,S
37,3,"""Serrano, Mr. Mikey""",male,18,3,0,902,9,T67,C
38,3,"""Tan, Mr. Aaron""",male,18,3,0,365,9,F15,S
